anime_id,status,type,episodes,start_year,rating,source,genres,themes,demographics
39279,finished_airing,movie,1.0,2010.0,g,original,[],['Music'],[]
15139,finished_airing,movie,1.0,1934.0,g,original,[],[],['Kids']
36815,finished_airing,special,1.0,2018.0,g,other,['Supernatural'],"['Idols (Female)', 'Music']",[]
19849,finished_airing,ova,10.0,2012.0,g,original,"['Comedy', 'Slice of Life']",[],[]
22467,finished_airing,music,1.0,2002.0,g,,[],['Music'],['Kids']
5555,finished_airing,ova,1.0,2003.0,rx,original,['Hentai'],[],[]
33213,finished_airing,ona,3.0,2016.0,pg,original,['Comedy'],['Mythology'],[]
5559,finished_airing,ova,1.0,2002.0,rx,original,['Hentai'],[],[]
30396,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
29661,finished_airing,movie,1.0,,g,,['Avant Garde'],[],[]
9662,finished_airing,ona,1.0,2010.0,r,other,['Horror'],['Psychological'],[]
32889,finished_airing,movie,1.0,2011.0,pg,original,"['Action', 'Adventure', 'Comedy']",['Martial Arts'],[]
8897,finished_airing,tv,13.0,1966.0,pg,,"['Action', 'Adventure', 'Sci-Fi']",[],['Kids']
9337,finished_airing,ova,1.0,2010.0,pg_13,,['Comedy'],"['Crossdressing', 'School']",[]
34625,finished_airing,ona,1.0,2016.0,g,original,[],['Racing'],[]
36101,finished_airing,music,1.0,2017.0,pg_13,music,[],['Music'],[]
5563,finished_airing,ova,1.0,1985.0,rx,,['Hentai'],[],[]
9257,finished_airing,ova,2.0,2007.0,rx,manga,['Hentai'],[],[]
32644,finished_airing,ona,1.0,2010.0,g,original,[],[],[]
34720,finished_airing,special,3.0,,g,original,['Avant Garde'],[],[]
8751,finished_airing,music,1.0,,g,music,"['Comedy', 'Fantasy']",['Music'],[]
4733,finished_airing,movie,1.0,2001.0,pg_13,original,"['Adventure', 'Sci-Fi']",[],[]
28035,finished_airing,movie,1.0,1949.0,g,original,['Sports'],['Team Sports'],['Kids']
36574,finished_airing,ona,1.0,2017.0,g,original,['Fantasy'],[],[]
34858,finished_airing,music,1.0,2015.0,g,original,[],['Music'],[]
16007,finished_airing,movie,1.0,1959.0,g,original,['Fantasy'],[],[]
1656,finished_airing,tv,24.0,2004.0,g,,['Comedy'],[],['Kids']
29677,finished_airing,movie,1.0,,g,original,['Drama'],['Historical'],[]
9507,finished_airing,ova,1.0,2000.0,rx,,['Hentai'],[],[]
8774,finished_airing,special,1.0,1960.0,g,other,['Fantasy'],[],['Kids']
35974,finished_airing,music,1.0,2017.0,g,original,[],['Music'],[]
37528,finished_airing,music,1.0,2012.0,g,music,[],"['Military', 'Music']",[]
43318,finished_airing,music,1.0,2020.0,g,original,['Avant Garde'],['Music'],[]
42563,finished_airing,music,1.0,2012.0,g,original,[],['Music'],[]
38818,finished_airing,music,1.0,2008.0,pg,original,['Action'],['Music'],[]
22239,finished_airing,special,1.0,2003.0,pg,original,[],['Mahou Shoujo'],[]
7448,finished_airing,tv,18.0,1994.0,g,,['Comedy'],[],[]
23055,finished_airing,movie,1.0,,g,original,['Avant Garde'],['Visual Arts'],[]
6671,finished_airing,movie,1.0,1979.0,pg,,"['Adventure', 'Sci-Fi']",[],[]
8574,finished_airing,ova,2.0,1984.0,rx,,['Hentai'],[],[]
42717,finished_airing,tv,12.0,2020.0,g,original,['Slice of Life'],[],['Kids']
34957,finished_airing,movie,1.0,,g,original,['Fantasy'],[],[]
20581,finished_airing,ona,5.0,2013.0,pg_13,,"['Comedy', 'Mystery']",['Parody'],[]
28685,finished_airing,movie,1.0,2005.0,g,original,"['Action', 'Comedy']",[],[]
9341,finished_airing,ova,1.0,2000.0,rx,,['Hentai'],[],[]
36180,finished_airing,music,1.0,2009.0,g,music,[],['Music'],[]
30394,finished_airing,movie,1.0,,g,,['Slice of Life'],[],[]
30163,finished_airing,music,1.0,2013.0,g,original,[],['Music'],['Kids']
5663,finished_airing,ova,4.0,2000.0,rx,,['Hentai'],[],[]
29105,finished_airing,music,1.0,1999.0,g,original,['Comedy'],['Music'],['Kids']
36158,finished_airing,music,1.0,2016.0,r+,original,['Avant Garde'],['Music'],[]
36865,finished_airing,movie,1.0,2016.0,pg_13,manga,['Comedy'],[],[]
37552,finished_airing,ona,3.0,2014.0,g,original,"['Fantasy', 'Slice of Life']",['Music'],[]
34721,finished_airing,special,1.0,,pg_13,original,['Action'],['Samurai'],[]
29353,finished_airing,music,1.0,,g,music,"['Adventure', 'Fantasy']",['Music'],[]
10627,finished_airing,movie,1.0,2006.0,g,other,"['Comedy', 'Sports']",[],[]
29481,finished_airing,special,1.0,2008.0,g,,['Fantasy'],[],['Kids']
43419,finished_airing,movie,1.0,,g,original,['Avant Garde'],['Music'],[]
26081,finished_airing,movie,1.0,1971.0,rx,manga,['Hentai'],[],[]
37668,finished_airing,special,3.0,2018.0,g,manga,[],"['Mythology', 'Parody']",[]
30534,finished_airing,music,1.0,2015.0,pg_13,,[],['Music'],[]
23639,finished_airing,movie,1.0,1954.0,g,original,['Supernatural'],[],['Kids']
7713,finished_airing,movie,1.0,,g,other,['Fantasy'],[],[]
29782,finished_airing,movie,1.0,1943.0,g,original,[],"['Historical', 'Military']",[]
29825,finished_airing,special,4.0,2015.0,g,manga,"['Comedy', 'Slice of Life']",[],['Shoujo']
36622,finished_airing,special,1.0,2014.0,g,original,['Slice of Life'],[],[]
7343,finished_airing,ova,2.0,,rx,,['Hentai'],[],[]
18463,finished_airing,music,1.0,,r+,music,['Sci-Fi'],['Music'],[]
22575,finished_airing,ova,1.0,2001.0,g,,['Fantasy'],[],['Kids']
41293,finished_airing,ona,1.0,2017.0,g,picture_book,"['Adventure', 'Fantasy']",[],['Kids']
3497,finished_airing,ova,1.0,2004.0,pg_13,visual_novel,['Romance'],[],[]
35684,finished_airing,ona,3.0,2017.0,pg_13,game,"['Action', 'Fantasy']",[],[]
33272,finished_airing,music,1.0,2016.0,pg_13,,[],['Music'],[]
29988,finished_airing,movie,1.0,,r+,original,['Avant Garde'],[],[]
27457,finished_airing,tv,26.0,2012.0,g,,[],['Racing'],['Kids']
28305,finished_airing,special,1.0,,pg,original,['Sci-Fi'],['Mecha'],[]
3695,finished_airing,ova,1.0,2005.0,pg_13,game,['Fantasy'],[],[]
17151,finished_airing,music,1.0,2009.0,g,original,[],['Music'],[]
20725,finished_airing,music,1.0,2010.0,g,,[],['Music'],[]
7449,finished_airing,special,1.0,,g,,['Comedy'],[],[]
29906,finished_airing,movie,1.0,,pg_13,original,[],['Psychological'],[]
34954,finished_airing,movie,1.0,,g,original,[],"['Historical', 'Samurai']",[]
30012,finished_airing,movie,1.0,,g,original,[],['Historical'],[]
29867,finished_airing,movie,1.0,,g,original,[],[],['Kids']
5571,finished_airing,ova,1.0,1985.0,rx,,['Hentai'],[],[]
18047,finished_airing,ona,1.0,2010.0,g,original,['Comedy'],[],[]
42865,finished_airing,music,1.0,2011.0,g,original,[],['Music'],[]
38901,finished_airing,music,1.0,2018.0,g,music,[],['Music'],[]
8716,finished_airing,music,1.0,2004.0,g,original,"['Comedy', 'Sci-Fi']","['Music', 'Space']",['Kids']
30433,finished_airing,music,1.0,2012.0,g,,[],['Music'],[]
7683,finished_airing,movie,1.0,,pg,,['Drama'],[],[]
30647,finished_airing,ona,1.0,2012.0,pg_13,,['Romance'],[],[]
39331,finished_airing,movie,1.0,,g,original,[],['Music'],[]
35219,finished_airing,movie,1.0,2017.0,g,other,['Comedy'],"['Parody', 'Super Power']",[]
9879,finished_airing,ova,1.0,1991.0,g,,[],['Educational'],['Kids']
32767,finished_airing,music,1.0,2011.0,g,music,[],['Music'],[]
37404,finished_airing,music,1.0,2018.0,g,original,[],"['Music', 'Strategy Game']",[]
41192,finished_airing,special,1.0,2020.0,g,original,[],"['Military', 'Music']",[]
36164,finished_airing,ona,12.0,2017.0,pg_13,game,"['Action', 'Comedy', 'Sci-Fi', 'Slice of Life']","['Military', 'Space']",[]
5687,finished_airing,ova,4.0,2001.0,rx,visual_novel,['Hentai'],[],[]
31266,finished_airing,movie,1.0,,g,original,['Avant Garde'],[],[]
29919,finished_airing,movie,1.0,1957.0,g,other,[],[],['Kids']
31926,finished_airing,movie,1.0,,g,original,['Avant Garde'],['Music'],[]
21717,finished_airing,music,1.0,1985.0,g,original,[],['Music'],['Kids']
5193,finished_airing,ona,1.0,2008.0,pg,,[],['Educational'],['Kids']
30105,finished_airing,ona,1.0,2012.0,g,,[],[],['Kids']
36088,finished_airing,music,1.0,2012.0,g,music,[],['Music'],[]
35400,finished_airing,movie,1.0,,g,other,['Fantasy'],['Historical'],[]
29495,finished_airing,special,1.0,1994.0,pg,,['Horror'],[],['Kids']
33884,finished_airing,special,1.0,2016.0,g,original,['Slice of Life'],[],[]
38976,finished_airing,ona,1.0,2011.0,g,original,['Avant Garde'],['Music'],[]
17159,finished_airing,special,2.0,,pg,,"['Comedy', 'Slice of Life']",[],[]
35975,finished_airing,ona,1.0,2014.0,g,original,['Slice of Life'],[],[]
5546,finished_airing,ova,1.0,1992.0,rx,manga,['Hentai'],[],[]
